CountryCode,Summary
"ECU
","Covering an area of 283,561 sq.km (109,484 sq mi), Ecuador is a country located in northwestern South America.Ecuador is divided into four geographic regions: the coastal lowlands and mountain area; the Central Andes Mountains and its two major chains (Cordillera Occidental in the West) and the (Cordillera Oriental in the east); the lower mountains that fade into rolling hills and lowlands of the east, and the territory of the Galapagos Islands - officially called the Archipielago de Colon - located about 1,000km to the west.The Andes includes over 20 peaks atleast 13,779 ft (4,200m) in height with most located in the Cordillera Occidental. The highest point in Ecuador is Mount Chimborazo, at 20,560ft (6,268m); while the lowest point is at the Pacific Ocean. In addition, there are over 30 peaks that are volcanic in nature, including many active ones. Located in the Andes Mountains, Cotopaxi is one of the world's highest active volcanoes. Most rivers in Ecuador rise in the upper elevations of the Andes, flowing east toward the Amazon River, or west into the Pacific Ocean. The most significant include the Babahoyo, Chira, Coca, Curaray, Daule, Esmeraldas, Guayas, Napo, Paztaza and the Putumayo, on its northeastern border with Colombia.
"
"EGY
","The transcontinental country of Egypt covers an area of 1,010,408 sq. km. As observed on the physical map above, Egypt is largely covered by desert with the Nile River running south to north through the middle of the eastern half of the country to drain into the Mediterranean Sea. The river stretches from Lake Nasser in southern Egypt and runs through a narrow valley with bordering cliffs to enter Cairo where it spreads out to finally form a delta at its mouth. The Nile is called the lifeline of Egypt. Around 98% of the country's population resides in the Nile River Valley.As observed on the map, most of Egypt is in Africa while a part of it, the Sinai Peninsula, acts as the land bridge between Africa and Asia. The Mediterranean and the Red Sea are connected through the man-made Suez Canal with the Sinai Peninsula lying to the east of this canal.On both sides of the Nile River Valley are vast stretches of desert designated as the Eastern Desert and the Western Desert.In the far southwest, the land rises into the Gilf Kebir Plateau, with elevations near 609 m. Sandstone plateaus front the Nile and the Red Sea, with cliffs as high as 548 m. In the far southeast, the Red Sea Mountains, an extension of theEthiopianHighlands, continue intoSudan.Lake Nassar, the largest lake in Egypt can be observed on the map in southeastern Egypt. It is man-made and was created when the Aswan dam was constructed, then finished in 1970.The 2,642 m high Mount Catherine in the Sinai Peninsula is the highest point in Egypt.The lowest point of Egypt is the Qattara Depression at -436 ft (-133 m).
"
"SLV
","Covering a total area of 21,041 sq. km (8,124 sq mi), El Salvador is a small mountainous Central American country, where there are two parallel mountain ranges bordering a central plateau.As observed on the physical map of El Salvador above, the Sierra Madre Mountains runs along the entire northern border with Honduras. In the south, the land lowers into a narrow coastal plain and a scattered chain of more than 20 volcanoes stretches across the land from west to east (some are still active, but major eruptions are rare).Cerro El Pital – the highest point in the country, is situated on the Honduras border, at an elevation of 8,957ft (2730m). Its position has been marked on the map by an upright yellow triangle.El Salvador, inspite of being a Central American nation has no  coastline on the Caribbean but has hundreds of small rivers. The most significant among these rivers is the Lempa River; it rises in the mountains of Guatemala, then flows eastwards crossing a part of Honduras border and then turns south through the Central Highlands and across the central plateau empties into the Pacific Ocean. A dam built on the Lempa River created the large Cerron Reservoir.  Numerous volcanic lakes cover the interior, mostly ringed by mountains. The largest among them is Lake Ilopango, sitting directly east of San Salvador – the capital city of El Salvador.
"
"GNQ
","As observed on the physical map above, Equatorial Guinea in west-central Africa has two distinct regions, a mainland region, and an insular region. The country has a total land area of 28,051 sq. km.The mainland of Equatorial Guinea begins on a narrow coastal plain, edged by mangrove swamps. From there, the land rises into an elevated plateau of thickly forested hills to its border with Gabon, reaching (in a few places) upwards of 1,219 m above sea level.The major river, the Uola, snakes its way across the center of the country.The offshore island of Bioko, volcanic in origin and very fertile, is dominated by three extinct volcanoes. Its coastline is steep and rugged south, but there are scenic beaches and harbors along the northern coast.The highest point of Equatorial Guinea is Pico Basile at 3,008 m; the lowest point of the country is the Atlantic Ocean (0 m).
"
"ERI
","The East African country of Eritrea occupies an area of 117,600 sq. km with a coastline on the Red Sea to the east and northeast.As observed on the physical map above, one of the most notable physical features of Eritrea is the central highlands region which runs on a north-south axis through the middle of the country. It hosts the highest point of Eritrea, Mount Soira, at 3,013 m marked on the map with an upright yellow triangle.The highlands give way to the coastal plain to the east and end in eroded hills to the north.To the south, the coastal plain widens to include the Afar Depression or the Danakil Plain which has the Kobar Sink, a depression that lies 90 m below sea level. It is the lowest point in the country.To the west, the central highlands lead to irregular plains that slope down to the border with Sudan. Savanna vegetation cover this part of the country.A few rivers like the Gash, Tekeze, Baraka, and Anseba are some of the rivers draining the country.The Dahlak Archipelago can also be observed on the map above. It is a group of coral islands off the coast of mainland Eritrea in the Red Sea.
"
"EST
","Estonia is a Baltic country in Northern Europe with an area of 45,227km2(17,462 sq mi). As observed on the physical map of Estonia, the country is mostly low and flat (close to sea level). It is also nearly surrounded by water on all sides.Estonia has 3,794 km (2,357 mi) of coastline indented by numerous bays, straits, and inlets. The number of islands and islets is estimated at some 2,222; most are small with a few large islands off the western coastline. Some of the major islands like Saaremaa, Vormsi, Kardla, Muhu, Kihnu, etc., have been shown on the map above.Central and south, the land is hillier, rising to its highest point - the Munamagi - at 1,042 ft. (318m). A yellow upright triangle marks the position of this point on the map. The country's average elevation reaches only 50 meters (164 ft).Over 1,400 small lakes dot the western parts of the country. The largest lakes includes Peipus and Pskov, (shared with Russia) and Lake Vorts-Jarv.Rivers of size include the Emojogi, Manamagi and Parnu. The lowest point in Estonia is 0 m at sea level.
"
"SWZ
","One of the smallest countries in Africa, Eswatini (previously known in English as Swaziland) occupies an area of only 17,364 sq. km. Despite its small size, Eswatini features a variety of landscapes. On the physical map above you see the Lubombo Mountain ridge runs along the country's border with Mozambique in the northeast. It has an altitude of around 600 m. Three major rivers, Mbuluzi, Usutu, and Ngwavuma, cut the mountains here and flow downstream through deep canyons.The map shows that along the western border of the country with South Africa, it is rough and rugged being located on the edge of an escarpment called the Drakensberg which is the eastern part of the Great Escarpment. The average altitude here is 1,200 m. Several rivers also cut through this region forming deep gorges. The capital city of Eswatini, Mbabane is located in this Highveld region.The Highveld region of Eswatini gives way to the Middleveld which has an average elevation of 700 m above sea level. It is the country's most densely populated region. As you can see from the map, Manzini, the commercial and industrial hub of the country, is located in this region.Finally, the lowest part of Eswatini, the Lowveld has an average elevation of 250 m. It is populated by grasslands and thorn trees with low human population density. Due to high prevalence of malaria in the region in the early days, the development of Eswatini's Lowvelg staggered behind the rest of the country.Eswatini also has several protected areas like the Hlane National Park, Mlawula Nature Reserve, Mlilwane Wildlife Sanctuary, and others that protect the country's rich biodiversity. The Hlane National Park is the country's largest protected area and is located around 67 km northeast of Manzini.
"
"ETH
","Ethiopia is a landlocked country in East Africa occupying an area of 1,104,300 sq. km.The country has one of the most rugged and complex topographies in the continent. The five major topographic features of the country are the Rift Valley, Western and Eastern Highlands, and Western and Eastern Lowlands.The North Central massifs of the country host the highest point in the country marked by the yellow upright triangle. It is the 4,533 m high Mount Ras Dejen. Lake Tana (marked on the map), the biggest lake in the country is also located here at an altitude of around 1,800m.Along the border with Sudan, the Western lowlands extend north to south and have elevations of around 1,000 m and host the lower valleys of rivers like Tekeze, Blue Nile, and Baro.To the northeast is the Afar Depression or the Denakil Plain has the Kobar Sink with the lowest point in the country at -125 m. This area is part of the Rift Valley that extends into a narrower depression in the southwest. As observed on the map above, this contains the lake region of the country with numerous lakes like Abaya, Rudolf, Chew, etc., that form an internal drainage basin.The Eastern Highlands have peaks higher than 4,000 m but are less extensive than their Western counterpart. The Eastern lowlands include the Ogaden Desert and Hawd.Ethiopia has three main drainage systems. To the east, the Genale and Shebele Rivers rise in the Eastern Highlands and drain into the Indian Ocean. To the southwest, the lakes and Awash River form the Rift Valley internal drainage system. To the west is the system formed by the Baro, Tekeze, and the Blue Nile Rivers that flow into Sudan.
"
"FJI
","Covering an area of 18,300 sq.km (7,056 sq mi), the island nation of Fiji is located in the South Pacific Ocean, some 1,300 miles (2,000 km) northeast of New Zealand’s North Island; comprising of more than 332 islands of which 110 are inhabited, along with an additional 500 islets.The two largest islands as shown on the physical map of Fiji are Viti Levu and Vanua Levu, which make up 87% of Fiji’s total landmass. These mountainous islands were formed around 150 million years ago through volcanic activity, and are subsequently covered in thick tropical forests.Most of Fiji’s mountains are dormant or extinct volcanoes. Mount Tomanivi, located on the main island of Viti Levu, is the highest point of Fiji, at an elevation of 4,341ft (1,324m) and the lowest point is the Pacific Ocean (0m). Due to the mountainous terrain of these islands, there are several streams and waterfalls.Perhaps what Fiji is most famous for, however, are its crystal clear waters, coral reefs, shallow lagoons and white sand beaches that draw in thousands of tourists annually.
"
"FIN
","Finland, a North European Nordic country, covers an area of 338,455 km2(130,678 sq mi).During the last Ice Age, Finland was covered by a thick layer of ice. When that ice sheet retreated (or melted) about 10,000 years ago, it gouged the surface of the land and left in its wake innumerable islands, rivers and streams, as well as an estimated 188,000 lakes. Note that near 60,000 of those lakes measure more than 200 meters wide.As observed on the physical map of Finland, it is mostly flat land, with more than 70% of it covered by thick forest. In the southern areas, water seems a more common sight than land as countless clear water lakes are everywhere.To the north of the Arctic Circle, the terrain rises into the hills and low mountains of Lapland. The country's highest point, Haltiatunturi, at 1,328 meters, stands on the edge of its border with Norway. A yellow upright triangle marks the position of this point on the map.The Aland Islands (archipelago) sits in the middle of the Gulf of Bothnia between Finland and Sweden. It contains almost three hundred islands (80 inhabited), and over 6,000 small (tiny) rocky islands.Directly east, in the Archipelago Sea and merging with the Aland Islands and Finland's southwestern coastline stand tens of thousands of islands, mostly small, with some of the larger ones inhabited.As observed on the map above, Finland is riddled with lakes. On this land of lakes, the largest ones include Nasijarv, Oulujarvi, Paijanne, Pielinen and Finland's largest, Lake Saimaa. With a few exceptions, the balance of Finland's lakes is on the small side.Finland's most significant rivers include the Kemi, Luiro, Muonio, Oulu, Teno and Torne.Numerous canals flow lake to lake in the south. The largest, the Saimaa Canal, connects Lake Saimaa with the Gulf of Finland.
"
"FRA
","France, a Western European country that includes several overseas territories and regions, has 640,679 km2 (247,368 sq mi).As observed on France's physical map above, the country is partially covered central, north and west by a relatively flat plain that's punctuated by some time-worn low rolling hills and mountains.Rugged cliffs front its coastline along the English Channel. There, to the northwest of Caen, the Cotentin Peninsulashields the Channel Islands, while a bit further to the west, the Brittany Peninsula juts into the Atlantic Ocean. Assorted coastal islands dot the western coastline south of Brest, where white-sandy beaches stretch along the Atlantic Ocean to the border with Spain. A few scattered islands are found along the pebbled beaches of the Mediterranean coast. Corsica, a mountainous island and the country's largest island, is located 160 km (99 miles) southeast of Nice. Mountains dominate eastern, south-central and southern France, including the snowcapped Alps that stretch along its border with Italy, then on into Switzerland and across southern Europe. The country's highest point and the second-highest point in Europe are located here; Mont Blanc at 15,770 ft. (4,807m) (marked on the map above).Further to the north, the limestone peaks of the Jura range front the country's eastern border with Switzerland. The heavily forested Vosges Mountains in the far-northeast stretch along the Rhine River valley. In the far-southeast, directly to the west of Nice and dissected by the Verdon River, the Gorges du Verdon. This spectacular and massive canyon is up to 700 meters deep in places and about 11 miles long. Volcanic in origin, the Massif Central is a mountainous plateau divided by steep canyons and valleys. These mountains (or Massifs) stretch south toward the Mediterranean Sea. The Pyrenees, a jagged mountain range, covers the entire southern borders with Andorra and Spain. Dozens and dozens of rivers drain the country. The longest river in France is the Loire, at 630 miles (1,020 km) in length. Other significant rivers include the Garonne, Lot, Rhine, Rhone Seine, each with many smaller tributaries.
"
"GAB
","Gabon is easily divided into three distinct regions: a narrow coastal plain, a hilly mountainous interior, and a savanna in the far-east and south. Of note, rainforests cover nearly 85% of the country.The coastal plains form a large section of the World Wildlife Fund's Atlantic Equatorial coastal forests ecoregion and contain patches of CentralAfricanmangroves.As marked on the physical map of Gabon, significant mountains include the Cristal Mountains in the northeast and the central Chaillu Massif (a large mountain mass).The country also has hundreds of caves located in the dolomite and limestone rocks formations in the east central areas.Gabon is drained by numerous rivers; the largest is the Ogooué which is 746 miles, (1,200 km) long. The course of the river through Gabon can be observed on the map above.The highest point of the country is Mont Iboundji at 2,534 ft. (1,575 m), and the lowest point is theAtlantic Ocean(0 m).
"
"GMB
","As observed on the physical map of the country, The Gambia is a very small and narrow country whose borders seem to follow the path of the meandering Gambia River, and at less than 30 miles wide at its widest point, nearly 10% of the country's land area is covered by water.The Gambia River itself is one of Africa's major rivers. It stretches 1,130 km (700 miles) from northwestern Guinea to the Atlantic Ocean at the city of Banjul. It is navigable for about half of that length.The remainder of Gambia's terrain is a grassy flood plain with Guinean mangroves covering the landscape as you move closer to the coastline; the Sudanian Savanna lies further inland.The highest point of the country (marked with an upright yellow triangle on the map) is an unnamed hill at 53 m at the easternmost region, and the lowest point is the Atlantic Ocean (0 m).
"
"GEO
","Located in Eurasia's Caucasus region, Georgia occupies an area of 69,700 sq. km (26,900 sq mi). As observed on the physical map of Georgia above, it is a very mountainous country, with the rugged Caucasus Mountains stretching across the northern third, and the Lesser Caucasus Mountains dominating the central and southern landscape.The country's highest point, (100% within its borders) is Mt. Kazbek, rising to 16,558 ft. (5,047 m).Mt. Shkhara, is a few meters higher, and its southern slopes front Georgia, but it's mostly located in Russia, just to the southeast of Mt. Elbrus. It rises to 16,627 ft. (5,068m).Europe's highest point, (Mt. Elbrus) is located just over Georgia's northern border, and reaches 18,841 ft. (5,633m).All three peaks have been marked on the map.The Kolkhida Lowlands front theBlack Seain the west, and numerous small rivers drain the area. Georgia has around 25,000 rivers that either drain into the Black Sea or the Caspian Sea (after cross Azerbaijan). The most significant rivers include the Kura and Rioni.Georgia has a 310 km long coastline on the Black Sea to the west. The lowest point in Georgia is the Black Sea at 0 m.
"
"DEU
","By size, Germany is the seventh-largest European country. It covers an area of 357,022 km2(137,847 sq mi). As observed on Germany's physical map, the country's topography varies significantly from north to south.The North European Plain extends across the country's northern reaches; this flat, lowland terrain is dissected by numerous bogs, rivers and streams, and is mostly used as farmland.The North Sea coastline is a low, marshy wetland with dikes, mudflats and scattered islands. TheBaltic Seais hillier with some jagged cliffs. Rugen, Germany's largest island, is forested and rather hilly with cliffs and sandy beaches.In the northeast, and then stretching to the south of Berlin, Germany's land remains sandy and punctuated by dozens of mostly small lakes formed by retreating glaciers during the last Ice Age.The land then rises into the forested uplands of central Germany. Major landforms here include the volcanic in origin Harz Mountains and the thickly wooded Rothaargebirge Mountains.Further south, the rounded hills and mountains of the Eifel and Huynsruck uplands front the Rhine River Valley. Moving eastward through Germany, the Vogelsberg Mountains, Rhon Plateau (or Mts.), and Thuringian Forest are the dominant features. The uplands continue eastward, eventually rising into the Ore Mountains on the Czech Republic border.In the far south, the land remains mostly hilly, with heavily forested mountains. The Bohemian Forest covers a lower mountain range along the Czech Republic border. Along the country's far-southwestern border with the Rhine River and France stands the thick (story-book famous) Black Forest.The Bavarian Alps, the highest mountains in Germany, stretch across its southern border with Austria. Snow-covered Zugspitze, Germany's highest point, is found here. It is 2,962 m (9,718 ft) tall and marked on the map by a yellow upright triangle.Stretched along the northern coastline, the Frisian Islands, East and North, are separated from the mainland by the Waddenmeer. These barrier islands provide a small level of protection from the North Sea.As observed on the map above, the country is drained by dozens of rivers. The longest river in Germany is the Rhine. Rising in the Alps of Switzerland, its overall length runs (820 miles) (1,319 km), and along with it, path numerous tributaries and branches stretch in all directionsAnother river of note is the Danube, which rises in the Black Forest to then stretch across central Europe all the way to theBlack Sea. Additional rivers of size include the Elbe, Ems, Havel, Isr, Lahn, Lech, Main, Moselle, Oder, Spree and Weser.The largest lakes include Chiemsee and Muritz and Lake Constance along the Swiss border in the south.The lowest point (natural) in Germany is Neuendorf-Sachsenbande in Wilstermarsch at 3.54 m (11.6 ft) below sea-level.Across Germany, many human-made canals join navigable rivers, creating thousands of miles of interconnecting inland waterways. They're used for commercial and local traffic and by large fleets of cruising riverboats and charter barges.
"
"GHA
","Ghana is a West African country with a coastline on the Gulf of Guinea and occupies a total area of 239,567 sq. km.As observed on the map above, Ghana is dissected by the largest artificial lake on the planet (Lake Volta), nearly 50% of Ghana lies less than 152 meters above sea level.The country's highest point, Mount Afadjato as marked on the map to the southeast of the country with a yellow upright triangle. It rises only 880 m. The lowest point is the Gulf of Guinea at 0 m.Ghana's coastline is low and sandy, backed by plains and scrub and intersected by several rivers and streams, most of which are navigable only by canoe.A tropical rain forest belt (central and east) broken by heavily forested hills and many streams and rivers, extends northward from the coastline.To the north of this region, the topography varies from 91 to 396 m above sea level and is covered by low bush, park-like savanna, and scattered grassy plains.Formed by the Akosombo Dam, and completed in 1965, Lake Volta is the largest reservoir by surface area in the world and the fourth largest one by water volume. It is located completely within Ghana, and it has a surface area of about 8,502 square km.In the north, the Oti and the Black Volta and White Volta rivers drain into Lake Volta, which then flows south towards the sea.
"
"GRC
","Occupying the southern most part of the Balkan Peninsula, Greece and its many islands (almost 1,500) extend southward from the European continent into the Aegean, Cretan, Ionian, Mediterranean and Thracian seas.Crete and Evia are its two largest islands and major island groups include the Argo-Saronic, Cyclades, Dodecanese, Ionian, Northeast Aegean and Sporades.With the vast percentage of its land comprised of hills and rugged mountains, Greece is one of the most mountainous countries in Europe. Its 13,676 km toothy-edged shoreline is deeply indented by dozens of gulfs.The western half of the country is dominated by the steep peaks of the Pindus mountains, a range of the Dinaric Alps that stretch south from Albania and Macedonia. Typical elevations here exceed 2,500 meters, and those mountains are punctuated by numerous lakes, rivers and wetlands.The highest Greek mountain is Mount Olympus, rising to 2,918 meters (9,570 ft). To its immediate southwest stand the massive Meteora rock formations; gigantic pillars of stones worn smooth by wind and water over thousands of years.In the far-north along its border with Bulgaria, the heavily-forested Southern Rhodope Mountain range spreads across the land.Greece is home to a series of ancient volcanoes, including those on the islands of Kos, Methana, Milos, Nisyros, Poros and Santorini. None are currently erupting, and the last recorded significant eruptions occurred on the island of Nisyros in 1887/1888, and on the island of Santorini in 1950.The Peloponnese Peninsula is slightly separated from the mainland by the Corinth Canal, a 4-mile long man-made canal through the Isthmus of Corinth. This narrow canal is used primarily for shipping purposes.While most of the smaller rivers in Greece dry up in the heat of summer, rivers of note include the Acheloos, Aliacmon, Evros and Pinios. Lakes of size include Trichonis, Vegoritis and Volvi.
"
"GRD
","Covering a total area of only 348.5 sq. km (134.6 sq mi), the country of Grenada consists of the main island of Grenada, the larger islands of Carriacou and Petit Martinique, and some 600 small islets, mostly uninhabited.  The islands of the country of Grenada are all volcanic in origin and vary in elevation from 300m (984ft), to over 600m (1,968 ft).As observed on the map, the island of Grenada itself is more mountainous than the others and are covered by dense forest. Its land rises from a narrow, coastal plain into areas of dormant volcanic ridges and valleys. Mount St. Catherine is the highest point rising to 840 m (2,760 ft). The island is drained by many small rivers flowing to the sea, all cutting deeply into the slopes.A few of the mountains contain crater basins, and one includes a large crater lake named Grand Etang. The lake is over 1700ft above sea level, and is surrounded with some of the island's most beautiful rainforest. Waterfalls are scattered across the upper-reaches of Grenada, as well as a few boiling springs; the River Sallee boiling springs is the most significant.
"
"GTM
","A Central American country, Guatemala covers an area of 108,889 sq. km (42,042 sq mi). As observed on the physical map of Guatemala, the country is largely mountainous with rolling hills, plateaus, deep river valleys, and numerous volcanoes. Some of the volcanoes are active.Major regions include theCentral Highlandsthat separate the Cuchumatanes Mountains of the northwest from the volcanic ranges of the Sierra Madre Mountains of the south and east.The highest point in the country is the 4,220 m or 13,845 ft high Tajumulco Volcano. The lowest point is the Pacific Ocean at 0 m.Peten, a limestone plateau covered by grasslands and tropical rainforest blankets most of the northern third of the country.Atlantic Lowlandsthat front the swampy edges of the Gulf of Honduras, and the grassy farmland, volcanic sand beaches and rivers of thePacific Lowlands.Guatemala is drained by numerous rivers; the Motagua, the country's longest river, rises in the Central Highlands and flows to the Caribbean Sea. Lake Izabal is the most significant lake.
"
"GIN
","The coastal country of Guinea in West Africa covers an area of 245,857 sq. km.The country has been divided into four geographic regions. The Lower Guinea or the coastal plain that runs north to south along the coast of the country on the Gulf of Guinea. It features many drowned river valleys or rias and there are tidal estuaries and offshore islands.The second region is the Fouta Djallon Highlands in Middle Guinea. The third region is Upper Guinea covered by savanna and finally Forest Guinea which is located to the southeast of the country and is covered by rainforests.As visible on the physical map above, several rivers originate in the highlands of Guinea like the Niger and its tributaries, Bafing River, Milo River, Konkoure, and others.Guinea's highest point is Mont Nimba at 1,752 m and marked on the map by a yellow upright triangle in southern Guinea. The lowest point is the Atlantic Ocean at 0m.
"
"GNB
","Guinea-Bissau is a West African country with an area of 36,125 sq. km. As observed on the physical map of the country, it has a coastline on the Atlantic Ocean. Most of Guinea-Bissau is low-lying. The coastal plains with Guinean mangrove swamps lead to flat savanna and forests inland. Due to the flat nature of the terrain, tidal waters reach as far as 100 km inland.The southeastern part of the country is relatively high and dominated by the Fouta Djallon plateau with an elevation of around 180 m. From the western slopes of this plateau, Boe hills arise and extend westwards for a short distance.The highest point of the country is an unnamed hill at 984 ft (300 m); the lowest point of Guinea-Bissau is the Atlantic Ocean (0 m)Corubal, Geba, and Cacheu are some of the major rivers draining Guinea-Bissau and have been marked on the map.Off the coast of Guinea-Bissau, is the Bijagos Archipelago. It is a group of some eighteen major islands and dozens of smaller ones that extends along the Atlantic Ocean coastline. The Orango Islands National Park is its main attraction.
"
"GUY
","Covering an area of 215,000 sq. km, Guyana, located on the northern edge of South America, is the 3rdsmallest nation in South America.Guyana can be divided into four main geographical regions: there's a narrow and swampy coastal plain, a hillier sandy region in the east, the (15,000 sq. km) Rupununi Savannah of the south; and the tropical rain forests and interior highlands - central and west.As can be observed on the map above, the mountain ranges of Guyana include the Pakaraima Mountains, Kanuku Mountains, and Acarai Mountains. Many of these relatively low mountains are fronted by steep cliffs and include several waterfalls. The massive spectacular Kaieteur Falls is 251 meters (822 ft) in height and is one of the most powerful waterfalls in the world. It is about five times higher than Niagara Falls, and about two times the height of Victoria Falls. Situated in the Pakaraima Mountains, at the tripoint border of Brazil-Guyana-Venezuela is - Mount Roraima at 2835m, which is the highest point in Guyana (as marked on the map by an upright yellow triangle). The lowest point is the Atlantic Ocean (0m).Guyana is a country replete with rivers and its four main rivers are the Essequibo, Berbice, Courantyne, and Demerara. Some of these rivers flow in a northerly direction and drain into the Atlantic Ocean, while those in the western parts of the country generally flow east into the Essequibo. The country also possesses some of South America’s largest rainforests, most of which are still unspoiled and inaccessible by humans.
"
"HTI
","Covering an area of 27,750 sq. km (10,710 sq mi), Haiti is the 3rdlargest country in the Caribbean, behind Cuba and the Dominican Republic. It occupies the western third of the island of Hispaniola and consists of two peninsulas, separated by the Gonave Gulf.As observed on the physical map of Haiti above, it’s a rugged mountainous land, dominated by three main massifs (mountain ranges). These are Massif de la Hotte, Massif de la Selle, and Massif du Nord.The highest point is Pic La Stelle in the Massif De La Selle. It stands at 8,793ft (2,680m). Its position has been marked on the map by a yellow triangle.Haiti has the 2ndlongest coastline (1,771km/1,100mi) in the Caribbean, with Cuba having the longest La Gonave and La Tortue are it’s most significant islands.Lake Azuei and Lake of Miragoane are the lakes of note. The only major river is the Artibonite; it rises in the Dominican Republic and flows across the border into Haiti. There are a few dozen smaller rivers and hundreds of (small) streams.
"
"HND
","Honduras occupies an area of 112,492 sq. km (43,433 sq. mi) in Central America. As observed on the physical map of Honduras, the country has three major topographical regions. These are a vast interior plateau of hills and mountains that dominate the landscape; the Caribbean lowlands, and the Pacific lowlands- fringing the Gulf of Fonseca.The forested interior hills and the Sierra Madre Mountains are crisscrossed by a large series of rivers and wide, fertile valleys; fronted by sandy beaches. The 2,870 m (9,420 ft) high Cerro Las Minas located in the western part of the country is the highest point of Honduras.The Caribbean lowlands extend along its entire northern coastline, and there, in the northeast, as marked on the map, the Mosquito Coast is a broad uninhabited stretch of thick jungle, lagoons and mangrove swamps.The Pacific lowlands surround the Gulf of Fonseca, and that land also becomes somewhat swampy near the coast. The country has numerous cays and islands in the Caribbean Sea, including Isla de la Bahia (Bay Islands), the tiny Cayos Cocinos (Hog Islands), and the remote Swan Islands. A few long-dormant volcanic islands stand in the Gulf of Fonseca, including Tigre and Zacate.Honduras is water-rich; the most important rivers include the Aquan, Coco, Patuca, Sico and Ulua; Lake Yojoa is the only significant lake, and the Caratasca Lagoon in the northeast is the largest of many coastal lagoons.
"
"HUN
","Hungary is a medium-sized, landlocked Central European country covering an area of 93,030 km2(35,920 sq mi).As observed on the physical map of Hungary, it is mostly a flat country, dominated by the Great Hungarian Plain east of the Danube. The plain includes approximately 56% of the country's land. The terrain ranges from flat to rolling plains.The land rises into hills and some low mountains in the north along the Slovakian border. The highest point, located in the Matra Hills, is Mt Kekes at 3,330 ft. (1,015m). A yellow upright triangle marks the position of this highest point on the map.The lowest spot (marked by a yellow inverted triangle) is 77.6 m above sea level, located along the Tisza River in the south of Hungary, near Szeged.The Danube is the major river, as it divides the country almost in half, and is navigable within Hungary for 418 km. Additional rivers of note include the Drava and Tisza.Hungary has three major lakes. Lake Balaton, the largest at 78 km long and from 3 to 14 km wide, has an area of 592 sq km. As seen on the map, it is located in the west-central part of the country. It's central Europe's largest freshwater lake.
"
"ISL
","The Nordic island nation of Iceland occupies an area of 103,000 km2 (40,000 sq miles) in the North Atlantic Ocean. The island owes its existence to a large volcanic fissure in the Mid-Atlantic Ridge, where the Eurasian and Americantectonic platesmeet. Even today, the country is growing by about 5 cm per year, as itsplits wider at the points where two tectonic plates meet.Iceland is largely an arctic desert punctuated by mountains, glaciers, geysers, hot springs, volcanoes, and waterfalls.Most of the vegetation and agricultural areas are in the lowlands close to the coastline.As can be observed on the physical map of Iceland, the country's most distinctive features are the glaciers that cover over 4,600 sq. mi (11,922 sq. km) or 11. 5% of the total area of the country. During the past few decades, however, they've markedly thinned and retreated owing to a milder climate.By far thelargest of the glaciers is the Vatnajokullin southeast Iceland, with an area of 3,240 sq. mi (8,400 sq. km). The Vatnajokull glacier is equal in size to all the glaciers on the European mainland put together and reaches a thickness of 3000 ft. (1 km).The highest point in Iceland is Hvannadalshnukur, a peak on the edge of the Öræfajökull Volcano, which rises6,922 feet (2,110 m). The location of this point have been marked on the map by a yellow upright triangle.And speaking of Volcanoes, on March 21, 2010, the Eyjafjallajökull Volcano in southern Iceland erupted for the first time since 1821, forcing 600 people to flee their homes. Further eruptions in April forced hundreds of people to abandon their homes. And in fact, the resultant cloud of volcanic ash brought major disruption to air travel across Europe.Due to its stunning geographical features including mountains, glaciers, waterfalls, volcanoes and the pristine environment,Iceland is a great tourist destination for nature lovers.
"
"IND
","Covering a total land area of 3,287,263 sq.km, India is the world’s 7thlargest and the 2nd-most populous country; that extends from the snow-capped Himalayas in the north to the tropical rain forests in the south.As observed on the map, the Himalayas form the highest mountain range in the world, and slope southwards into a large fertile plain that covers most part of the country. The Himalayas comprises of three parallel mountain ranges including the Himadri, Himachal and Shivaliks, that extends from the Indus River in the northwest, to the Brahmaputra River in the east. All these mountain ranges are interspersed with deep canyons, plateaus and valleys. The highest point in India is Mount Kanchenjunga which rises to 28,208 ft. (8,598 m). The lowest point is the Indian Ocean (0m).Numerous rivers drain the land and the extensive floodplains are mainly formed by three river basins – the Indus, the Ganges and the Brahmaputra. the Ganges is the heartbeat of India and one of the most significant rivers on the planet. In the north western part of the country is the Thar Desert region. The land rises slightly into two plateaus, bordered in the central and south by lower mountains (Western and Eastern Ghats), that gently slope into narrow coastal plains.
"
